schema,family,channel,frequency_low_mhz,frequency_high_mhz,overlap_bin_indices,overlap_mhz_by_bin,coverage_fraction,reference_years,shared_target,mapping_rule,perbin_status,perbin_binding_bin,perbin_conservative_tolerance,combined_status,combined_binding_bin,combined_conservative_tolerance,combined_to_perbin_ratio,perbin_strictness_rank,combined_strictness_rank,existing_policy_status_change,existing_policy_ranking_change,policy_interpretation
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,14,470,476,11,11:6,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,11,0.00176888107545,accepted,11,0.00217824814627,1.23142713012,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,15,476,482,11,11:6,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,11,0.00176888107545,accepted,11,0.00217824814627,1.23142713012,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,16,482,488,11,11:6,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,11,0.00176888107545,accepted,11,0.00217824814627,1.23142713012,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,17,488,494,10;11,10:4.20482758621;11:1.79517241379,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,11,0.00176888107545,accepted,11,0.00217824814627,1.23142713012,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,18,494,500,10,10:6,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,10,0.00195087991482,accepted,10,0.00235869715417,1.20904271773,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,19,500,506,10,10:6,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,10,0.00195087991482,accepted,10,0.00235869715417,1.20904271773,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,20,506,512,9;10,9:4.71214285714;10:1.28785714286,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,9,0.00181409197321,accepted,9,0.00214909990058,1.18466975893,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,21,512,518,9,9:6,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,9,0.00181409197321,accepted,9,0.00214909990058,1.18466975893,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,22,518,524,9,9:6,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,9,0.00181409197321,accepted,9,0.00214909990058,1.18466975893,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,23,524,530,8;9,8:3.9237037037;9:2.0762962963,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,8,0.0017146186258,accepted,8,0.00198460352683,1.15746061367,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
baonoise-forecast-channel-mapping-csv-v1,noise_shaped,24,530,536,8,8:6,1,1,fs8,minimum accepted tolerance over every nonzero-overlap bin,accepted,8,0.0017146186258,accepted,8,0.00198460352683,1.15746061367,2,2,none,none,analytic sensitivity envelope only; no empirical template-selection evidence
