schema,family,template_provenance,evidence_file,evidence_sha256,bank_sha256,numerical_grid_sha256,bin_index,z_low,z_high,frequency_low_mhz,frequency_high_mhz,overlapping_channels,reference_years,perbin_parameters,perbin_accepted,perbin_rejected,perbin_rejected_parameters,perbin_binding_parameter,perbin_binding_tolerance,combined_parameters,combined_accepted,combined_rejected,combined_rejected_parameters,combined_binding_parameter,combined_binding_tolerance,perbin_fs8_accepted,perbin_fs8_tolerance,combined_fs8_accepted,combined_fs8_tolerance,combined_to_perbin_fs8_ratio,fixed_equals_noise_at_reference,combined_noise_grid_accepted,combined_noise_grid_rejected,combined_fixed_grid_accepted,combined_fixed_grid_rejected
baonoise-forecast-template-comparison-csv-v1,noise_shaped,scalar_unit_P_res_equivalent_to_noise_shaped; not_named_template_metadata,forecast_completion_all_dtv_bins.json,d958db9f2be82dc31e43e057cde636e46b67dfb8c6df0ce36bbbec0b0edc8e2a,4b148a7fece58016017c50cf158db3f6afa2823d4e495ca34d5ebe1846cdd61f,7fbe39a9f44f5f6e65c68fe1b04f276a276549760b6878046c2833b6ac6c0eda,5,1.3,1.4,591.835833333,617.567826087,34;35;36,1,apar;aperp;fs8,1,2,apar;aperp,fs8,0.00150297638737,DV;F;fs8,1,2,DV;F,fs8,0.00162028034259,true,0.00150297638737,true,0.00162028034259,1.07804776988,true,3,6,3,6
baonoise-forecast-template-comparison-csv-v1,noise_shaped,scalar_unit_P_res_equivalent_to_noise_shaped; not_named_template_metadata,forecast_completion_all_dtv_bins.json,d958db9f2be82dc31e43e057cde636e46b67dfb8c6df0ce36bbbec0b0edc8e2a,4b148a7fece58016017c50cf158db3f6afa2823d4e495ca34d5ebe1846cdd61f,7fbe39a9f44f5f6e65c68fe1b04f276a276549760b6878046c2833b6ac6c0eda,6,1.4,1.5,568.1624,591.835833333,30;31;32;33;34,1,apar;aperp;fs8,3,0,,fs8,0.00153393522054,DV;F;fs8,3,0,,fs8,0.00168711284526,true,0.00153393522054,true,0.00168711284526,1.09985925264,true,9,0,9,0
baonoise-forecast-template-comparison-csv-v1,noise_shaped,scalar_unit_P_res_equivalent_to_noise_shaped; not_named_template_metadata,forecast_completion_all_dtv_bins.json,d958db9f2be82dc31e43e057cde636e46b67dfb8c6df0ce36bbbec0b0edc8e2a,4b148a7fece58016017c50cf158db3f6afa2823d4e495ca34d5ebe1846cdd61f,7fbe39a9f44f5f6e65c68fe1b04f276a276549760b6878046c2833b6ac6c0eda,7,1.5,1.6,546.31,568.1624,26;27;28;29;30,1,apar;aperp;fs8,1,2,apar;aperp,fs8,0.00160315529826,DV;F;fs8,1,2,DV;F,fs8,0.00181014784223,true,0.00160315529826,true,0.00181014784223,1.12911571586,true,4,5,4,5
baonoise-forecast-template-comparison-csv-v1,noise_shaped,scalar_unit_P_res_equivalent_to_noise_shaped; not_named_template_metadata,forecast_completion_all_dtv_bins.json,d958db9f2be82dc31e43e057cde636e46b67dfb8c6df0ce36bbbec0b0edc8e2a,4b148a7fece58016017c50cf158db3f6afa2823d4e495ca34d5ebe1846cdd61f,7fbe39a9f44f5f6e65c68fe1b04f276a276549760b6878046c2833b6ac6c0eda,8,1.6,1.7,526.076296296,546.31,23;24;25;26,1,apar;aperp;fs8,1,2,apar;aperp,fs8,0.0017146186258,DV;F;fs8,1,2,DV;F,fs8,0.00198460352683,true,0.0017146186258,true,0.00198460352683,1.15746061367,true,3,6,3,6
baonoise-forecast-template-comparison-csv-v1,noise_shaped,scalar_unit_P_res_equivalent_to_noise_shaped; not_named_template_metadata,forecast_completion_all_dtv_bins.json,d958db9f2be82dc31e43e057cde636e46b67dfb8c6df0ce36bbbec0b0edc8e2a,4b148a7fece58016017c50cf158db3f6afa2823d4e495ca34d5ebe1846cdd61f,7fbe39a9f44f5f6e65c68fe1b04f276a276549760b6878046c2833b6ac6c0eda,9,1.7,1.8,507.287857143,526.076296296,20;21;22;23,1,apar;aperp;fs8,3,0,,fs8,0.00181409197321,DV;F;fs8,3,0,,fs8,0.00214909990058,true,0.00181409197321,true,0.00214909990058,1.18466975893,true,9,0,9,0
baonoise-forecast-template-comparison-csv-v1,noise_shaped,scalar_unit_P_res_equivalent_to_noise_shaped; not_named_template_metadata,forecast_completion_all_dtv_bins.json,d958db9f2be82dc31e43e057cde636e46b67dfb8c6df0ce36bbbec0b0edc8e2a,4b148a7fece58016017c50cf158db3f6afa2823d4e495ca34d5ebe1846cdd61f,7fbe39a9f44f5f6e65c68fe1b04f276a276549760b6878046c2833b6ac6c0eda,10,1.8,1.9,489.795172414,507.287857143,17;18;19;20,1,apar;aperp;fs8,3,0,,fs8,0.00195087991482,DV;F;fs8,3,0,,fs8,0.00235869715417,true,0.00195087991482,true,0.00235869715417,1.20904271773,true,9,0,9,0
baonoise-forecast-template-comparison-csv-v1,noise_shaped,scalar_unit_P_res_equivalent_to_noise_shaped; not_named_template_metadata,forecast_completion_all_dtv_bins.json,d958db9f2be82dc31e43e057cde636e46b67dfb8c6df0ce36bbbec0b0edc8e2a,4b148a7fece58016017c50cf158db3f6afa2823d4e495ca34d5ebe1846cdd61f,7fbe39a9f44f5f6e65c68fe1b04f276a276549760b6878046c2833b6ac6c0eda,11,1.9,2.04,467.238815789,489.795172414,14;15;16;17,1,apar;aperp;fs8,1,2,apar;aperp,fs8,0.00176888107545,DV;F;fs8,1,2,DV;F,fs8,0.00217824814627,true,0.00176888107545,true,0.00217824814627,1.23142713012,true,5,4,5,4
baonoise-forecast-template-comparison-csv-v1,low_kparallel,authenticated_named_template_api_v1:fb34c9963c42ba7faea997d95b1dc20aabbce006dec676c03ed161d05977a0e4,forecast_completion_all_dtv_bins_low_kparallel.json,6ac870c6c1eb12dfa4221686f994d594d8734b56643dede6032dce22f5dd7a42,3e6f98203f55c63fb99de8e8607508a4a8a9b101b62d36a3c60f28d71dcd58ba,fa13c35f9d0fd57c54741222bb4144b6bf1c98fd1322a5bb5aa87edd46414a2f,5,1.3,1.4,591.835833333,617.567826087,34;35;36,1,apar;aperp;fs8,1,2,apar;aperp,fs8,0.00216500938987,DV;F;fs8,1,2,DV;F,fs8,0.00216994444057,true,0.00216500938987,true,0.00216994444057,1.00227945926,true,3,6,3,6
baonoise-forecast-template-comparison-csv-v1,low_kparallel,authenticated_named_template_api_v1:fb34c9963c42ba7faea997d95b1dc20aabbce006dec676c03ed161d05977a0e4,forecast_completion_all_dtv_bins_low_kparallel.json,6ac870c6c1eb12dfa4221686f994d594d8734b56643dede6032dce22f5dd7a42,3e6f98203f55c63fb99de8e8607508a4a8a9b101b62d36a3c60f28d71dcd58ba,fa13c35f9d0fd57c54741222bb4144b6bf1c98fd1322a5bb5aa87edd46414a2f,6,1.4,1.5,568.1624,591.835833333,30;31;32;33;34,1,apar;aperp;fs8,3,0,,fs8,0.00220635950243,DV;F;fs8,3,0,,fs8,0.00221223527716,true,0.00220635950243,true,0.00221223527716,1.00266310849,true,9,0,9,0
baonoise-forecast-template-comparison-csv-v1,low_kparallel,authenticated_named_template_api_v1:fb34c9963c42ba7faea997d95b1dc20aabbce006dec676c03ed161d05977a0e4,forecast_completion_all_dtv_bins_low_kparallel.json,6ac870c6c1eb12dfa4221686f994d594d8734b56643dede6032dce22f5dd7a42,3e6f98203f55c63fb99de8e8607508a4a8a9b101b62d36a3c60f28d71dcd58ba,fa13c35f9d0fd57c54741222bb4144b6bf1c98fd1322a5bb5aa87edd46414a2f,7,1.5,1.6,546.31,568.1624,26;27;28;29;30,1,apar;aperp;fs8,1,2,apar;aperp,fs8,0.00231251814008,DV;F;fs8,1,2,DV;F,fs8,0.00231953880403,true,0.00231251814008,true,0.00231953880403,1.00303593897,true,3,6,3,6
