channel,epoch,masked_pct,on_shelf_db,n_null,floor_db,floor_thin,intra_share_pct,ground_filter_db,tau_minutes,tau_quality,tau_capped,r_keep,r_proxy,x_over_binding,health_gate_schema_version,health_included_frames,health_excluded_frames,health_floor_status
36,full,99.92,-28.74,0,,False,28.66,5.3,1436.1,refused,True,787.4,,,pilotproxy_archive_frame_health_gate_v1,38155,5,unavailable_no_health_included_stored_mask_kept_frames
35,full,83.72,-10.69,0,,False,0.99,20.0,45.4,measured,False,54.79,,,pilotproxy_archive_frame_health_gate_v1,39767,8,unavailable_no_health_included_stored_mask_kept_frames
35,on-epoch,83.72,-10.61,3359,-24.98,False,0.84,20.7,46.1,measured,False,48.04,1.753,1169.0,pilotproxy_archive_frame_health_gate_v1,39767,8,available
34,full,99.09,-34.12,168,-45.59,False,4.23,13.3,1436.1,refused,True,33.66,2.4,1600.0,pilotproxy_archive_frame_health_gate_v1,39012,5,available
33,full,80.55,-33.75,1388,-44.95,False,15.7,7.6,5.0,bounded_above,True,0.4741,0.03591,23.94,pilotproxy_archive_frame_health_gate_v1,34200,6,available
32,full,71.09,-35.25,2818,-48.54,False,0.23,22.8,1436.1,refused,True,1.392,0.06523,43.49,pilotproxy_archive_frame_health_gate_v1,28209,6,available
31,full,99.98,-7.9,2,-54.78,True,0.66,21.7,34.2,measured,False,52.41,0.001075,0.7169,pilotproxy_archive_frame_health_gate_v1,30985,7,available
30,full,98.41,0.17,0,,False,0.35,22.3,1436.1,refused,True,7546.0,,,pilotproxy_archive_frame_health_gate_v1,9289,0,unavailable_no_health_included_stored_mask_kept_frames
29,full,63.73,-43.63,8119,-48.19,False,31.73,4.6,1436.1,refused,True,28.24,9.889,6592.0,pilotproxy_archive_frame_health_gate_v1,39350,7,available
28,full,99.78,-30.76,6,-47.09,True,8.76,10.4,1436.1,refused,True,151.0,3.513,2342.0,pilotproxy_archive_frame_health_gate_v1,32816,13,available
27,off-epoch,98.07,-1.35,21437,-24.44,False,0.32,23.4,1436.1,refused,True,4774.0,23.42,15610.0,pilotproxy_archive_frame_health_gate_v1,34542,7,available
27,full,98.07,-33.13,0,,False,0.4,22.4,1436.1,refused,True,4.046,,,pilotproxy_archive_frame_health_gate_v1,34542,7,unavailable_no_health_included_stored_mask_kept_frames
26,off-epoch,95.32,-8.02,16674,-32.34,False,1.77,17.5,1436.1,refused,True,5729.0,21.18,14120.0,pilotproxy_archive_frame_health_gate_v1,26348,4,available
26,full,95.32,-36.4,1046,-42.43,False,1.59,17.9,5.0,bounded_above,True,0.02607,0.006501,4.334,pilotproxy_archive_frame_health_gate_v1,26348,4,available
25,full,88.95,-40.46,0,,False,42.63,3.5,1436.1,refused,True,78.72,,,pilotproxy_archive_frame_health_gate_v1,38257,24,unavailable_no_health_included_stored_mask_kept_frames
24,full,100.0,-1.73,0,,False,0.33,23.5,62.2,measured,False,196.7,,,pilotproxy_archive_frame_health_gate_v1,10152,2,unavailable_no_health_included_stored_mask_kept_frames
23,full,88.71,-37.07,0,,False,43.25,3.5,5.0,bounded_above,True,0.6081,,,pilotproxy_archive_frame_health_gate_v1,37675,7,unavailable_no_health_included_stored_mask_kept_frames
22,full,100.0,-17.7,0,,False,1.31,18.8,1436.1,refused,True,455.9,,,pilotproxy_archive_frame_health_gate_v1,37959,7,unavailable_no_health_included_stored_mask_kept_frames
21,full,59.66,-39.11,14647,-43.18,False,33.37,4.6,1436.1,refused,True,84.17,32.94,21960.0,pilotproxy_archive_frame_health_gate_v1,38614,8,available
20,off-epoch,99.81,-18.63,23666,-26.05,False,1.42,18.4,165.2,measured,False,46.18,8.359,5573.0,pilotproxy_archive_frame_health_gate_v1,36727,9,available
20,full,99.81,-29.79,0,,False,2.26,16.3,5.0,bounded_above,True,0.1698,,,pilotproxy_archive_frame_health_gate_v1,36727,9,unavailable_no_health_included_stored_mask_kept_frames
19,off-epoch,91.8,-6.82,12742,-33.54,False,0.63,21.9,1436.1,refused,True,2678.0,5.704,3803.0,pilotproxy_archive_frame_health_gate_v1,21362,10,available
19,full,91.8,-36.69,1649,-43.69,False,0.48,23.1,19.1,measured,False,0.02791,0.005559,3.706,pilotproxy_archive_frame_health_gate_v1,21362,10,available
18,full,92.36,-35.56,2789,-41.3,False,40.57,3.8,1436.1,refused,True,231.4,61.8,41200.0,pilotproxy_archive_frame_health_gate_v1,38067,6,available
17,full,99.9,-5.63,20,-50.12,True,0.99,19.9,1436.1,refused,True,5548.0,0.1973,131.5,pilotproxy_archive_frame_health_gate_v1,33190,9,available
16,full,91.59,-41.2,0,,False,44.29,3.4,1436.1,refused,True,69.09,,,pilotproxy_archive_frame_health_gate_v1,36367,18,unavailable_no_health_included_stored_mask_kept_frames
15,full,99.92,-27.64,0,,False,9.52,10.1,1436.1,refused,True,336.5,,,pilotproxy_archive_frame_health_gate_v1,34213,7,unavailable_no_health_included_stored_mask_kept_frames
14,full,94.76,-38.38,1151,-48.81,False,52.75,2.7,1436.1,refused,True,157.5,14.25,9500.0,pilotproxy_archive_frame_health_gate_v1,35023,7,available
