series,masked_fraction,time_year
survey_amplitude,0,0.0238374
bin_amplitude,0,0.174904
dilation,0,0.314544
survey_amplitude,0.05,0.0241918
bin_amplitude,0.05,0.184058
dilation,0.05,0.331147
survey_amplitude,0.1,0.0245514
bin_amplitude,0.1,0.194346
dilation,0.1,0.349509
survey_amplitude,0.15,0.0249164
bin_amplitude,0.15,0.205728
dilation,0.15,0.370135
survey_amplitude,0.2,0.0252761
bin_amplitude,0.2,0.218606
dilation,0.2,0.393303
survey_amplitude,0.25,0.0256411
bin_amplitude,0.25,0.233172
dilation,0.25,0.41951
survey_amplitude,0.3,0.0260113
bin_amplitude,0.3,0.249865
dilation,0.3,0.449354
survey_amplitude,0.35,0.0263757
bin_amplitude,0.35,0.268998
dilation,0.35,0.483966
survey_amplitude,0.4,0.0267453
bin_amplitude,0.4,0.291433
dilation,0.4,0.524331
survey_amplitude,0.45,0.0270971
bin_amplitude,0.45,0.318011
dilation,0.45,0.571906
survey_amplitude,0.5,0.0274536
bin_amplitude,0.5,0.349803
dilation,0.5,0.629081
survey_amplitude,0.55,0.0278031
bin_amplitude,0.55,0.388687
dilation,0.55,0.69901
survey_amplitude,0.6,0.0281451
bin_amplitude,0.6,0.437207
dilation,0.6,0.786598
survey_amplitude,0.65,0.0284673
bin_amplitude,0.65,0.499725
dilation,0.65,0.898699
survey_amplitude,0.7,0.028769
bin_amplitude,0.7,0.582861
dilation,0.7,1.04865
survey_amplitude,0.75,0.0290615
bin_amplitude,0.75,0.699599
dilation,0.75,1.25815
survey_amplitude,0.8,0.02932
bin_amplitude,0.8,0.874404
dilation,0.8,1.57318
survey_amplitude,0.85,0.0295434
bin_amplitude,0.85,1.16571
dilation,0.85,2.09728
survey_amplitude,0.9,0.0297433
bin_amplitude,0.9,1.74879
dilation,0.9,3.14632
survey_amplitude,0.95,0.0298942
bin_amplitude,0.95,3.49754
dilation,0.95,6.29258
survey_amplitude,0.97,0.029932
bin_amplitude,0.97,5.83025
dilation,0.97,10.485
