channel,offset_khz,db_rel_median
36,-14.9965,0.559822
36,-14.9727,0.556763
36,-14.9488,0.559509
36,-14.925,0.559234
36,-14.9012,0.559671
36,-14.8773,0.559699
36,-14.8535,0.565391
36,-14.8296,0.566126
36,-14.8058,0.563435
36,-14.782,0.555361
36,-14.7581,0.557835
36,-14.7343,0.562524
36,-14.7104,0.559941
36,-14.6866,0.56159
36,-14.6627,0.560168
36,-14.6389,0.567516
36,-14.6151,0.558866
36,-14.5912,0.561352
36,-14.5674,0.561889
36,-14.5435,0.563725
36,-14.5197,0.558675
36,-14.4958,0.568769
36,-14.472,0.563943
36,-14.4482,0.563113
36,-14.4243,0.563664
36,-14.4005,0.559692
36,-14.3766,0.557081
36,-14.3528,0.558715
36,-14.329,0.565686
36,-14.3051,0.566689
36,-14.2813,0.567806
36,-14.2574,0.561182
36,-14.2336,0.570448
36,-14.2097,0.563336
36,-14.1859,0.563545
36,-14.1621,0.564779
36,-14.1382,0.564951
36,-14.1144,0.563039
36,-14.0905,0.563948
36,-14.0667,0.562416
36,-14.0429,0.569335
36,-14.019,0.569801
36,-13.9952,0.56495
36,-13.9713,0.563222
36,-13.9475,0.566372
36,-13.9236,0.568625
36,-13.8998,0.558943
36,-13.876,0.568789
36,-13.8521,0.564334
36,-13.8283,0.560416
36,-13.8044,0.566038
36,-13.7806,0.568918
36,-13.7568,0.565777
36,-13.7329,0.561736
36,-13.7091,0.564412
36,-13.6852,0.564215
36,-13.6614,0.575673
36,-13.6375,0.57169
36,-13.6137,0.561913
36,-13.5899,0.567639
36,-13.566,0.574741
36,-13.5422,0.566725
36,-13.5183,0.566098
36,-13.4945,0.566302
36,-13.4706,0.566783
36,-13.4468,0.57246
36,-13.423,0.570258
36,-13.3991,0.565376
36,-13.3753,0.569252
36,-13.3514,0.56978
36,-13.3276,0.564431
36,-13.3038,0.572592
36,-13.2799,0.567207
36,-13.2561,0.562587
36,-13.2322,0.572133
36,-13.2084,0.567556
36,-13.1845,0.573357
36,-13.1607,0.564046
36,-13.1369,0.571637
36,-13.113,0.563824
36,-13.0892,0.569794
36,-13.0653,0.565147
36,-13.0415,0.569405
36,-13.0177,0.57407
36,-12.9938,0.571691
36,-12.97,0.570663
36,-12.9461,0.574047
36,-12.9223,0.572485
36,-12.8984,0.580157
36,-12.8746,0.573445
36,-12.8508,0.573876
36,-12.8269,0.568938
36,-12.8031,0.570653
36,-12.7792,0.56735
36,-12.7554,0.571112
36,-12.7316,0.566847
36,-12.7077,0.572781
36,-12.6839,0.57398
36,-12.66,0.568591
36,-12.6362,0.572838
36,-12.6123,0.578259
36,-12.5885,0.574047
