panel,fine_bin,T
a,0,1.01348
a,1,1.01801
a,2,1.01334
a,3,0.999162
a,4,1.03125
a,5,1.02316
a,6,0.992539
a,7,0.965044
a,8,0.948906
a,9,0.92884
a,10,0.95668
a,11,0.990784
a,12,0.99868
a,13,0.954901
a,14,0.959307
a,15,1.02351
a,16,1.03907
a,17,1.03949
a,18,0.989854
a,19,0.996564
a,20,0.967319
a,21,1.0231
a,22,1.05444
a,23,1.0296
a,24,0.999208
a,25,0.975367
a,26,1.00597
a,27,0.982793
a,28,1.01342
a,29,1.08505
a,30,0.985132
a,31,1.02948
a,32,0.999396
a,33,1.03857
a,34,1.01032
a,35,1.01997
a,36,1.04126
a,37,1.24069
a,38,1.10402
a,39,0.994483
a,40,0.993309
a,41,0.92962
a,42,1.01303
a,43,0.976963
a,44,0.984271
a,45,1.18198
a,46,1.04861
a,47,1.00069
a,48,1.04746
a,49,1.02714
a,50,0.981066
a,51,1.05646
a,52,1.0231
a,53,1.18315
a,54,1.23175
a,55,1.14116
a,56,1.03426
a,57,1.13977
a,58,1.31417
a,59,2.27917
a,60,1.06555
a,61,8.72975
a,62,18.6151
a,63,7.59825
a,64,1.0826
a,65,1.36843
a,66,1.2858
a,67,1.93099
a,68,1.1902
a,69,1.3871
a,70,2.98678
a,71,3.59202
a,72,1.42977
a,73,1.08656
a,74,1.00546
a,75,1.20841
a,76,1.15466
a,77,1.10767
a,78,1.17266
a,79,1.35347
a,80,1.13338
a,81,1.06219
a,82,1.08754
a,83,1.05989
a,84,1.33759
a,85,1.79886
a,86,1.34201
a,87,1.06707
a,88,1.14416
a,89,1.07911
a,90,1.09472
a,91,1.07184
a,92,1.04755
a,93,1.01559
a,94,1.02535
a,95,0.991837
a,96,0.979738
a,97,0.958371
a,98,0.995765
a,99,1.06909
a,100,1.00658
a,101,1.44304
a,102,1.67739
a,103,1.18555
a,104,0.964678
a,105,1.03004
a,106,1.03043
a,107,1.02334
a,108,1.06855
a,109,1.02389
a,110,1.05231
a,111,0.988663
a,112,1.00557
a,113,1.01149
a,114,0.976321
a,115,1.02861
a,116,0.968463
a,117,1.02704
a,118,0.981072
a,119,0.951462
a,120,0.996203
a,121,1.01261
a,122,1.00657
a,123,0.994491
a,124,0.970234
a,125,0.94311
a,126,0.999845
a,127,0.993269
a,128,0.985898
a,129,1.00567
a,130,0.973195
a,131,1.00154
a,132,0.973253
a,133,1.0018
a,134,1.00663
a,135,0.995595
a,136,0.961622
a,137,0.961456
a,138,0.987239
a,139,0.978393
a,140,0.97314
a,141,1.01724
a,142,1.0476
a,143,1.0946
a,144,1.01817
a,145,1.03431
a,146,1.01161
a,147,0.983031
a,148,1.00357
a,149,1.00471
a,150,1.03157
a,151,1.13413
a,152,1.13892
a,153,1.0405
a,154,1.32549
a,155,1.82678
a,156,1.37666
a,157,1.01972
a,158,1.04476
a,159,1.12756
a,160,1.1004
a,161,1.02819
a,162,1.04391
a,163,1.04496
a,164,1.13615
a,165,1.49678
a,166,1.00974
a,167,3.87475
a,168,5.9736
a,169,3.01331
a,170,1.03123
a,171,1.15053
a,172,1.13444
a,173,1.30089
a,174,1.01645
a,175,1.08837
a,176,1.00525
a,177,1.15949
a,178,0.998164
a,179,0.989156
a,180,1.0276
a,181,0.982992
a,182,0.961159
a,183,0.995192
a,184,1.00273
a,185,1.05432
a,186,1.02548
a,187,1.02278
a,188,0.957712
a,189,0.925999
a,190,1.00355
a,191,1.03166
a,192,1.01548
a,193,1.02278
a,194,0.994835
a,195,0.946009
a,196,1.00897
a,197,1.00195
a,198,1.03674
a,199,1.00979
a,200,0.942356
a,201,0.985492
a,202,0.951343
a,203,0.996747
a,204,0.990279
a,205,0.993795
a,206,1.01829
a,207,1.02776
a,208,1.03092
a,209,0.961821
a,210,0.94446
a,211,0.995348
a,212,1.04682
a,213,1.02048
a,214,0.972708
a,215,1.01058
a,216,0.998521
a,217,1.00419
a,218,0.980477
a,219,0.959724
a,220,0.95718
a,221,1.05432
a,222,1.0375
a,223,0.973335
a,224,1.02869
a,225,0.981806
a,226,0.940694
a,227,0.977813
a,228,0.937012
a,229,0.925022
a,230,0.955282
a,231,1.00095
a,232,1.00463
a,233,0.954749
a,234,0.998178
a,235,0.995283
a,236,0.972282
a,237,0.986862
a,238,0.971241
a,239,1.05984
a,240,1.04121
a,241,1.00666
a,242,1.03199
a,243,1.01183
a,244,0.989139
a,245,0.99196
a,246,1.02884
a,247,1.04062
a,248,0.995589
a,249,0.94987
a,250,0.958047
a,251,1.02547
a,252,0.975645
a,253,0.953903
a,254,0.988204
a,255,1.02673
b,0,0.506364
b,1,0.757822
b,2,0.825917
b,3,0.88821
b,4,1.53663
b,5,3.19092
b,6,1.01876
b,7,0.647411
b,8,1.86882
b,9,1.50758
b,10,1.03823
b,11,0.418483
b,12,0.646005
b,13,0.653753
b,14,0.940065
b,15,1.22316
b,16,0.920549
b,17,0.449782
b,18,0.602457
b,19,1.77055
b,20,0.801979
b,21,0.750176
b,22,0.974753
b,23,0.623177
b,24,0.670407
b,25,1.05649
b,26,1.20669
b,27,0.72168
b,28,2.19307
b,29,2.89202
b,30,0.827905
b,31,0.624872
b,32,0.669059
b,33,1.17407
b,34,2.02011
b,35,2.18398
b,36,0.896218
b,37,0.552855
