sigma,pd_target,pfa_target,required_data_snr_db_theory,required_data_snr_db_empirical,pd_empirical_at_required_snr,pd_ci_low,pd_ci_high,trial_count,hits,expected_tail_samples,tail_support,curve_support
3sigma,0.9986501,5e-05,-21.1635683611403,-21.162109375,0.9989166666666667,0.9981481794870848,0.9994230485253629,12000,11987,0.6,theory_model,empirically_supported
4sigma,0.9999683,5e-05,-20.572287591732923,-20.654296875,1.0,0.999692640623398,1.0,12000,12000,0.6,theory_model,finite_trial_saturated_model_supported
5sigma,0.9999997,5e-05,-20.055409594985676,-20.615234375,1.0,0.999692640623398,1.0,12000,12000,0.6,theory_model,finite_trial_saturated_model_supported
6sigma,0.9999999,5e-05,-19.954222700960237,-20.458984375,1.0,0.999692640623398,1.0,12000,12000,0.6,theory_model,finite_trial_saturated_model_supported
3sigma,0.9986501,0.0001,-21.273472109941338,-21.2890625,0.9985,0.9976303853718216,0.9991107702530673,12000,11982,1.2,theory_model,empirically_supported
4sigma,0.9999683,0.0001,-20.668161593622926,-20.625,1.0,0.999692640623398,1.0,12000,12000,1.2,theory_model,finite_trial_saturated_model_supported
5sigma,0.9999997,0.0001,-20.140520830819575,-20.68359375,1.0,0.999692640623398,1.0,12000,12000,1.2,theory_model,finite_trial_saturated_model_supported
6sigma,0.9999999,0.0001,-20.03737563892993,-20.8203125,0.9999166666666667,0.9995357848173716,0.9999978901848936,12000,11999,1.2,theory_model,finite_trial_saturated_model_supported
3sigma,0.9986501,0.0003,-21.463991702611054,-21.474609375,0.9989166666666667,0.9981481794870848,0.9994230485253629,12000,11987,3.5999999999999996,theory_model,empirically_supported
4sigma,0.9999683,0.0003,-20.833616307574182,-20.771484375,0.9999166666666667,0.9995357848173716,0.9999978901848936,12000,11999,3.5999999999999996,theory_model,finite_trial_saturated_model_supported
5sigma,0.9999997,0.0003,-20.28689928768177,-20.95703125,1.0,0.999692640623398,1.0,12000,12000,3.5999999999999996,theory_model,finite_trial_saturated_model_supported
6sigma,0.9999999,0.0003,-20.1802972059078,-21.025390625,0.9998333333333334,0.9993980737451578,0.9999798152561109,12000,11998,3.5999999999999996,theory_model,finite_trial_saturated_model_supported
3sigma,0.9986501,0.0005,-21.560646793708273,-21.5625,0.9986666666666667,0.9978356508841865,0.9992376987883055,12000,11984,6.0,theory_model,empirically_supported
4sigma,0.9999683,0.0005,-20.917186331570335,-20.966796875,0.9998333333333334,0.9993980737451578,0.9999798152561109,12000,11998,6.0,theory_model,finite_trial_saturated_model_supported
5sigma,0.9999997,0.0005,-20.360587241815978,-21.015625,1.0,0.999692640623398,1.0,12000,12000,6.0,theory_model,finite_trial_saturated_model_supported
6sigma,0.9999999,0.0005,-20.252201425989576,-20.751953125,1.0,0.999692640623398,1.0,12000,12000,6.0,theory_model,finite_trial_saturated_model_supported
3sigma,0.9986501,0.001,-21.69553654825703,-21.69921875,0.9985833333333334,0.9977327452337472,0.9991745297015396,12000,11983,12.0,empirical,empirically_supported
4sigma,0.9999683,0.001,-21.03338963841795,-20.91796875,1.0,0.999692640623398,1.0,12000,12000,12.0,theory_model,finite_trial_saturated_model_supported
5sigma,0.9999997,0.001,-20.462768385877965,-21.25,1.0,0.999692640623398,1.0,12000,12000,12.0,theory_model,finite_trial_saturated_model_supported
6sigma,0.9999999,0.001,-20.351859747284948,-21.26953125,0.9998333333333334,0.9993980737451578,0.9999798152561109,12000,11998,12.0,theory_model,finite_trial_saturated_model_supported
3sigma,0.9986501,0.003,-21.953765508318902,-21.962890625,0.9983333333333333,0.9974271364047052,0.9989816687768819,12000,11980,36.0,empirical,empirically_supported
4sigma,0.9999683,0.003,-21.25442574019862,-21.484375,0.9998333333333334,0.9993980737451578,0.9999798152561109,12000,11998,36.0,theory_model,finite_trial_saturated_model_supported
5sigma,0.9999997,0.003,-20.656206761244526,-21.240234375,1.0,0.999692640623398,1.0,12000,12000,36.0,theory_model,finite_trial_saturated_model_supported
6sigma,0.9999999,0.003,-20.540360799382775,-21.2890625,0.9999166666666667,0.9995357848173716,0.9999978901848936,12000,11999,36.0,theory_model,finite_trial_saturated_model_supported
3sigma,0.9986501,0.005,-22.08606954224846,-22.08984375,0.9985833333333334,0.9977327452337472,0.9991745297015396,12000,11983,60.0,empirical,empirically_supported
4sigma,0.9999683,0.005,-21.36693010739627,-21.416015625,1.0,0.999692640623398,1.0,12000,12000,60.0,theory_model,finite_trial_saturated_model_supported
5sigma,0.9999997,0.005,-20.75418615165011,-21.513671875,0.9999166666666667,0.9995357848173716,0.9999978901848936,12000,11999,60.0,theory_model,finite_trial_saturated_model_supported
6sigma,0.9999999,0.005,-20.635756436734304,-21.6015625,0.9999166666666667,0.9995357848173716,0.9999978901848936,12000,11999,60.0,theory_model,finite_trial_saturated_model_supported
3sigma,0.9986501,0.01,-22.28544395276826,-22.294921875,0.9985833333333334,0.9977327452337472,0.9991745297015396,12000,11983,120.0,empirical,empirically_supported
4sigma,0.9999683,0.01,-21.535484882430666,-21.552734375,0.9999166666666667,0.9995357848173716,0.9999978901848936,12000,11999,120.0,theory_model,finite_trial_saturated_model_supported
5sigma,0.9999997,0.01,-20.900358406474034,-21.54296875,1.0,0.999692640623398,1.0,12000,12000,120.0,theory_model,finite_trial_saturated_model_supported
6sigma,0.9999999,0.01,-20.777967077396553,-21.689453125,1.0,0.999692640623398,1.0,12000,12000,120.0,theory_model,finite_trial_saturated_model_supported
