k,common_events_signature_closure,channels_freq_ids,excluded_freq_ids
22,12,506 521 537 552 568 583 598 614 629 644 660 675 690 706 721 736 752 783 798 813 829 844,767
21,13,521 537 552 568 583 598 614 629 644 660 675 690 706 721 736 752 783 798 813 829 844,506 767
20,824,506 521 537 552 568 583 614 629 644 675 706 721 736 752 767 783 798 813 829 844,598 660 690
19,842,506 521 537 552 568 614 629 644 675 706 721 736 752 767 783 798 813 829 844,583 598 660 690
18,1066,506 521 537 552 568 614 629 644 675 706 721 736 752 767 783 798 813 829,583 598 660 690 844
17,1067,521 537 552 568 614 629 644 675 706 721 736 752 767 783 798 813 829,506 583 598 660 690 844
16,1548,506 521 537 552 583 614 629 644 675 721 736 767 783 798 813 844,568 598 660 690 706 752 829
15,830,506 521 537 552 568 583 614 629 644 675 706 721 767 813 844,598 660 690 736 752 783 798 829
14,832,506 521 537 552 568 583 614 629 675 706 721 767 813 844,598 644 660 690 736 752 783 798 829
13,1832,614 629 644 675 706 721 736 752 767 783 798 813 829,506 521 537 552 568 583 598 660 690 844
12,839,506 521 537 552 568 583 614 675 721 767 813 844,598 629 644 660 690 706 736 752 783 798 829
11,1656,675 706 721 736 752 767 783 798 813 829 844,506 521 537 552 568 583 598 614 629 644 660 690
10,1883,675 706 721 736 752 767 783 798 813 829,506 521 537 552 568 583 598 614 629 644 660 690 844
9,1658,721 736 752 767 783 798 813 829 844,506 521 537 552 568 583 598 614 629 644 660 675 690 706
8,1060,506 521 537 552 568 583 614 844,598 629 644 660 675 690 706 721 736 752 767 783 798 813 829
7,1240,506 521 537 552 568 583 614,598 629 644 660 675 690 706 721 736 752 767 783 798 813 829 844
6,3898,506 521 537 552 568 583,598 614 629 644 660 675 690 706 721 736 752 767 783 798 813 829 844
5,5484,506 521 537 552 583,568 598 614 629 644 660 675 690 706 721 736 752 767 783 798 813 829 844
4,6586,506 521 537 583,552 568 598 614 629 644 660 675 690 706 721 736 752 767 783 798 813 829 844
3,7565,506 521 537,552 568 583 598 614 629 644 660 675 690 706 721 736 752 767 783 798 813 829 844
2,8196,521 537,506 552 568 583 598 614 629 644 660 675 690 706 721 736 752 767 783 798 813 829 844
1,8383,537,506 521 552 568 583 598 614 629 644 660 675 690 706 721 736 752 767 783 798 813 829 844
