atsc_channel,freq_id,population,n_events,classified.FRB,crab.commissioning,pulsar,SGR,scheduled,other
36,506,sampled,7774,0.4166,0.2067,0.2240,0.0817,0.0187,0.0524
36,506,archive,7774,0.4166,0.2067,0.2240,0.0817,0.0187,0.0524
35,521,sampled,8304,0.4308,0.1911,0.2331,0.0780,0.0173,0.0496
35,521,archive,8304,0.4308,0.1911,0.2331,0.0780,0.0173,0.0496
34,537,sampled,8383,0.4303,0.1909,0.2339,0.0773,0.0173,0.0503
34,537,archive,8383,0.4303,0.1909,0.2339,0.0773,0.0173,0.0503
33,552,sampled,6511,0.3832,0.2464,0.2020,0.0969,0.0207,0.0508
33,552,archive,6511,0.3832,0.2464,0.2020,0.0969,0.0207,0.0508
32,568,sampled,5118,0.3824,0.2124,0.2206,0.0981,0.0236,0.0629
32,568,archive,5118,0.3824,0.2124,0.2206,0.0981,0.0236,0.0629
31,583,sampled,6927,0.4166,0.2027,0.2223,0.0882,0.0166,0.0536
31,583,archive,6927,0.4166,0.2027,0.2223,0.0882,0.0166,0.0536
30,598,sampled,1484,0.5074,0.0007,0.3315,0.0243,0.0128,0.1233
30,598,archive,1484,0.5074,0.0007,0.3315,0.0243,0.0128,0.1233
29,614,sampled,3200,0.3084,0.2700,0.2756,0.1037,0.0000,0.0422
29,614,archive,8371,0.4324,0.1881,0.2363,0.0761,0.0168,0.0502
28,629,sampled,2000,0.2185,0.3285,0.2830,0.1365,0.0000,0.0335
28,629,archive,7570,0.4266,0.2119,0.2164,0.0857,0.0190,0.0404
27,644,sampled,2000,0.2195,0.3285,0.2835,0.1350,0.0000,0.0335
27,644,archive,6824,0.3889,0.2355,0.2079,0.0931,0.0196,0.0550
26,660,sampled,2000,0.4060,0.2675,0.2210,0.0670,0.0000,0.0385
26,660,archive,5342,0.4332,0.2334,0.1846,0.0687,0.0198,0.0603
25,675,sampled,2000,0.2165,0.3390,0.2705,0.1435,0.0000,0.0305
25,675,archive,8309,0.4340,0.1932,0.2299,0.0779,0.0172,0.0479
24,690,sampled,1722,0.4669,0.0935,0.3089,0.0139,0.0006,0.1161
24,690,archive,1722,0.4669,0.0935,0.3089,0.0139,0.0006,0.1161
23,706,sampled,2000,0.2205,0.3285,0.2825,0.1360,0.0000,0.0325
23,706,archive,8157,0.4269,0.1969,0.2285,0.0787,0.0175,0.0515
22,721,sampled,2000,0.2195,0.3295,0.2805,0.1380,0.0000,0.0325
22,721,archive,8275,0.4297,0.1942,0.2300,0.0779,0.0173,0.0509
21,736,sampled,2000,0.2210,0.3285,0.2825,0.1345,0.0000,0.0335
21,736,archive,8546,0.4344,0.1877,0.2343,0.0758,0.0167,0.0511
20,752,sampled,2000,0.2215,0.3285,0.2825,0.1340,0.0000,0.0335
20,752,archive,8485,0.4374,0.1840,0.2357,0.0761,0.0164,0.0504
19,767,sampled,2000,0.2170,0.3410,0.2680,0.1450,0.0000,0.0290
19,767,archive,5209,0.3707,0.2855,0.1655,0.1192,0.0213,0.0378
18,783,sampled,2000,0.2215,0.3285,0.2820,0.1345,0.0000,0.0335
18,783,archive,8441,0.4361,0.1839,0.2381,0.0766,0.0169,0.0483
17,798,sampled,2000,0.2230,0.3275,0.2820,0.1340,0.0000,0.0335
17,798,archive,7233,0.4032,0.2222,0.2136,0.0881,0.0188,0.0542
16,813,sampled,2000,0.2195,0.3275,0.2785,0.1415,0.0000,0.0330
16,813,archive,8592,0.4376,0.1855,0.2341,0.0758,0.0164,0.0506
15,829,sampled,2000,0.2235,0.3275,0.2820,0.1335,0.0000,0.0335
15,829,archive,7959,0.4434,0.1728,0.2453,0.0739,0.0177,0.0470
14,844,sampled,2000,0.2140,0.3215,0.2770,0.1560,0.0000,0.0315
14,844,archive,8336,0.4400,0.1805,0.2360,0.0763,0.0173,0.0499
