atsc_channel,stratum,quarter,n_valid_frames,hi_rate
17,all,2020.50,225,0.0533
17,all,2025.25,1770,0.3424
17,all,2025.50,1431,0.3508
17,all,2025.75,2972,0.3449
17,all,2026.00,1243,0.3194
17,frb,2020.50,108,0.0278
17,frb,2025.25,885,0.3435
17,frb,2025.50,747,0.3574
17,frb,2025.75,1033,0.3514
17,frb,2026.00,345,0.3362
32,all,2018.75,161,0.3789
32,all,2019.00,566,0.4187
32,all,2019.25,813,0.4022
32,all,2019.50,604,0.3411
32,all,2019.75,2418,0.3929
32,all,2020.00,2018,0.4321
32,all,2020.25,508,0.3799
32,all,2020.50,884,0.4140
32,all,2020.75,289,0.4464
32,all,2023.00,349,0.3123
32,all,2023.25,625,0.0384
32,all,2023.50,487,0.0021
32,all,2023.75,1177,0.0051
32,all,2024.00,1153,0.0009
32,all,2024.25,743,0.0094
32,all,2024.50,1138,0.0035
32,all,2024.75,1199,0.0008
32,all,2025.50,464,0.0043
32,all,2025.75,3500,0.0054
32,all,2026.00,3104,0.0023
32,all,2026.25,3765,0.0321
32,frb,2018.75,92,0.3478
32,frb,2019.00,195,0.4667
32,frb,2019.25,332,0.3976
32,frb,2019.50,222,0.4009
32,frb,2019.75,1006,0.4076
32,frb,2020.00,602,0.4369
32,frb,2020.25,328,0.3567
32,frb,2020.50,469,0.3987
32,frb,2020.75,161,0.4224
32,frb,2023.00,168,0.3214
32,frb,2023.25,290,0.0345
32,frb,2023.50,307,0.0033
32,frb,2023.75,454,0.0088
32,frb,2024.00,338,0.0000
32,frb,2024.25,310,0.0065
32,frb,2024.50,647,0.0015
32,frb,2024.75,655,0.0000
32,frb,2025.50,295,0.0000
32,frb,2025.75,1081,0.0046
32,frb,2026.00,1033,0.0019
32,frb,2026.25,1459,0.0048
33,all,2018.75,175,0.0514
33,all,2019.00,577,0.3276
33,all,2019.25,981,0.0958
33,all,2019.50,664,0.0889
33,all,2019.75,2484,0.4746
33,all,2020.00,2043,0.3779
33,all,2020.25,514,0.0370
33,all,2020.50,211,0.0474
33,all,2020.75,66,0.4242
33,all,2022.75,857,0.0152
33,all,2023.00,473,0.0338
33,all,2023.25,759,0.0356
33,all,2023.50,736,0.0177
33,all,2023.75,1229,0.0244
33,all,2024.00,1183,0.0330
33,all,2024.25,766,0.0405
33,all,2024.50,1137,0.0317
33,all,2024.75,1362,0.0360
33,all,2025.00,1624,0.0345
33,all,2025.25,2103,0.0390
33,all,2025.50,1503,0.0419
33,all,2025.75,3499,0.0337
33,all,2026.00,3099,0.0268
33,all,2026.25,3765,0.0547
33,frb,2018.75,92,0.0000
33,frb,2019.00,199,0.3166
33,frb,2019.25,437,0.0366
33,frb,2019.50,246,0.0407
33,frb,2019.75,1006,0.4364
33,frb,2020.00,625,0.3872
33,frb,2020.25,324,0.0123
33,frb,2020.50,88,0.0682
33,frb,2022.75,512,0.0156
33,frb,2023.00,279,0.0430
33,frb,2023.25,391,0.0281
33,frb,2023.50,470,0.0149
33,frb,2023.75,471,0.0191
33,frb,2024.00,374,0.0267
33,frb,2024.25,348,0.0345
33,frb,2024.50,650,0.0277
33,frb,2024.75,738,0.0312
33,frb,2025.00,923,0.0347
33,frb,2025.25,892,0.0348
33,frb,2025.50,748,0.0388
33,frb,2025.75,1080,0.0287
33,frb,2026.00,1026,0.0322
33,frb,2026.25,1459,0.0302
35,all,2018.75,179,0.0223
35,all,2019.00,577,0.0017
35,all,2019.25,962,0.0094
35,all,2019.50,629,0.0048
35,all,2019.75,2388,0.0021
35,all,2020.00,2034,0.0010
35,all,2020.25,557,0.0090
35,all,2020.50,598,0.0067
35,all,2020.75,635,0.0000
35,all,2021.00,921,0.0043
35,all,2021.25,818,0.0355
35,all,2021.50,549,0.0036
35,all,2021.75,832,0.1514
35,all,2022.00,627,0.1675
35,all,2022.25,544,0.1875
35,all,2022.50,418,0.1244
35,all,2022.75,920,0.1391
35,all,2023.00,474,0.2068
35,all,2023.25,757,0.1968
35,all,2023.50,858,0.1527
35,all,2023.75,1233,0.1444
35,all,2024.00,1169,0.2027
35,all,2024.25,755,0.1987
35,all,2024.50,1134,0.2081
35,all,2024.75,1355,0.1956
35,all,2025.00,1611,0.1906
35,all,2025.25,1851,0.1907
35,all,2025.50,1515,0.1815
35,all,2025.75,3501,0.2005
35,all,2026.00,3097,0.2238
35,all,2026.25,3746,0.2093
35,frb,2018.75,94,0.0426
35,frb,2019.00,199,0.0000
35,frb,2019.25,418,0.0096
35,frb,2019.50,230,0.0000
35,frb,2019.75,1020,0.0029
35,frb,2020.00,628,0.0000
35,frb,2020.25,345,0.0000
35,frb,2020.50,295,0.0034
35,frb,2020.75,378,0.0000
35,frb,2021.00,534,0.0037
35,frb,2021.25,554,0.0144
35,frb,2021.50,371,0.0000
35,frb,2021.75,563,0.1723
35,frb,2022.00,468,0.1667
35,frb,2022.25,373,0.2091
35,frb,2022.50,267,0.1348
35,frb,2022.75,565,0.1239
35,frb,2023.00,278,0.1942
35,frb,2023.25,385,0.1636
35,frb,2023.50,571,0.1366
35,frb,2023.75,470,0.1723
35,frb,2024.00,365,0.2164
35,frb,2024.25,339,0.2153
35,frb,2024.50,649,0.2049
35,frb,2024.75,738,0.1978
35,frb,2025.00,910,0.1780
35,frb,2025.25,755,0.1921
35,frb,2025.50,764,0.1832
35,frb,2025.75,1082,0.1950
35,frb,2026.00,1027,0.2220
35,frb,2026.25,1439,0.1939
