atsc_channel,freq_id,n_valid_frames,exposure_hours,mu0,mean_F,sem_F,dev_1e3,dev_sem_1e3,mask_fraction,kept_fraction,recovered_khz_at_mu0,in_stack,census_lines,pilot_offset_dc_bins,min_ref_dist_dc_bins,min_ref_dist_edge_bins,ref_wrapped,class
14,844,7765,0.0905,1.002055,0.998066,0.000120,-3.981,0.120,0.0900,0.9100,355.5,1,3,-1.00,1.00,61.00,0,suppressed
15,829,7654,0.0892,0.994456,0.995494,0.000067,1.044,0.068,0.6237,0.3763,147.0,0,1,45.08,43.08,16.92,0,nominal
16,813,7673,0.0894,0.999843,1.000741,0.000079,0.899,0.079,0.6167,0.3833,149.7,1,1,-36.84,34.84,25.16,0,nominal
17,798,7643,0.0890,1.001492,1.007101,0.000312,5.600,0.312,0.5698,0.4302,168.0,1,1,9.24,7.24,52.76,0,elevated
18,783,7659,0.0892,1.011111,1.011555,0.000073,0.439,0.073,0.5532,0.4468,174.5,1,2,55.32,53.32,6.68,0,nominal
19,767,7739,0.0902,1.006450,1.007890,0.000106,1.432,0.106,0.6449,0.3551,138.7,1,0,-26.60,24.60,35.40,0,nominal
20,752,7677,0.0894,0.985330,0.984147,0.000065,-1.200,0.066,0.3421,0.6579,257.0,0,1,19.48,17.48,42.52,0,nominal
21,736,7666,0.0893,1.007593,0.995089,0.000198,-12.409,0.196,0.0129,0.9871,385.6,1,0,-62.44,60.44,-0.44,1,suppressed
22,721,7665,0.0893,1.003389,1.002059,0.000063,-1.326,0.063,0.3345,0.6655,260.0,1,1,-16.36,14.36,45.64,0,nominal
23,706,7673,0.0894,0.994582,0.994967,0.000099,0.387,0.100,0.5983,0.4017,156.9,0,1,29.72,27.72,32.28,0,nominal
24,690,9962,0.1161,1.004718,1.041003,0.000763,36.114,0.760,0.6858,0.3142,122.7,0,3,-52.20,50.20,9.80,0,elevated
25,675,7741,0.0902,0.998271,0.993090,0.000230,-5.190,0.230,0.1077,0.8923,348.5,1,0,-6.12,4.12,55.88,0,suppressed
26,660,7891,0.0919,1.008564,1.009741,0.000114,1.166,0.113,0.6222,0.3778,147.6,0,1,39.96,37.96,22.04,0,nominal
27,644,7809,0.0910,0.992953,0.993569,0.000164,0.620,0.165,0.6147,0.3853,150.5,1,1,-41.96,39.96,20.04,0,nominal
28,629,7896,0.0920,1.003310,1.000110,0.000204,-3.189,0.203,0.1264,0.8736,341.3,1,1,4.12,2.12,57.88,0,suppressed
29,614,13706,0.1597,1.002438,1.002995,0.000071,0.555,0.071,0.5784,0.4216,164.7,1,0,50.20,48.20,11.80,0,nominal
30,598,9079,0.1058,0.996626,11.391805,0.021307,10430.369,21.379,0.9833,0.0167,6.5,0,10,-31.72,29.72,30.28,0,elevated
31,583,30090,0.3506,1.001965,1.001168,0.000106,-0.796,0.106,0.4704,0.5296,206.9,1,2,14.36,12.36,47.64,0,nominal
32,568,25965,0.3025,1.002289,1.002133,0.000298,-0.156,0.298,0.6322,0.3678,143.7,0,1,60.44,58.44,1.56,0,nominal
33,552,31810,0.3706,1.004967,1.005273,0.000078,0.304,0.078,0.4763,0.5237,204.6,1,2,-21.48,19.48,40.52,0,nominal
34,537,37474,0.4366,1.004340,1.004750,0.000031,0.408,0.031,0.5473,0.4527,176.8,1,1,24.60,22.60,37.40,0,nominal
35,521,37244,0.4339,0.997488,0.997235,0.000072,-0.254,0.072,0.5006,0.4994,195.1,1,1,-57.32,55.32,4.68,0,nominal
36,506,35715,0.4161,0.989133,0.986943,0.000043,-2.214,0.044,0.2162,0.7838,306.2,1,1,-11.24,9.24,50.76,0,suppressed
