separation_mpc,r2_xi
38.1818183,66.5909129
42.2855488,63.7210271
49.4670846,58.4621703
59.2134463,51.3573354
64.8560851,47.4235327
70.4987164,43.6744654
75.6283832,40.441712
80.7580501,37.3843638
85.8877169,34.4903894
91.0173838,31.7500333
96.660015,28.8850107
104.354519,25.1374498
113.587916,20.7886123
117.178682,19.2186467
119.743512,18.2369232
121.282413,17.745003
122.821314,17.3576313
124.360214,17.1067788
125.386143,17.033182
126.412087,17.0477585
127.438016,17.1619943
128.463945,17.3869012
129.489889,17.7324133
130.515818,18.2066858
131.541747,18.8153739
132.567675,19.5609774
134.106576,20.9320985
135.645477,22.5847055
137.69735,25.1437836
144.36591,34.0077411
145.904811,35.5956855
146.930755,36.4622383
147.956683,37.1548404
148.982612,37.6613501
150.008541,37.9745277
151.034485,38.0919189
151.547442,38.0776671
152.573386,37.9065147
153.599315,37.5521723
154.625244,37.0257684
155.651188,36.3409903
156.677116,35.5133622
158.216017,34.0408678
159.754918,32.3433041
161.806776,29.8294652
165.397549,25.0860002
170.014252,19.050585
172.579081,15.9641422
175.143911,13.1469981
177.708741,10.6216051
179.760613,8.81231188
181.812486,7.18422851
183.864344,5.72762212
185.916217,4.43068866
187.968074,3.28054625
190.019947,2.26394291
192.07182,1.36789939
194.636649,0.398726547
197.201479,-0.42308387
199.766309,-1.11678326
201.818182,-1.5909064
