k_mpc_inv,p_over_psmooth
0.0394969524,1.00157962
0.0413858403,1.00523593
0.0451743604,1.01220145
0.0465127648,1.0141463
0.0476119702,1.0153888
0.0484533936,1.01607726
0.0493096871,1.01651351
0.0498889476,1.01664485
0.0504749904,1.016636
0.0510679402,1.01647641
0.0516678556,1.01615645
0.052274795,1.01566818
0.0528888879,1.01500417
0.0535101947,1.0141586
0.0544558546,1.01254172
0.0554182267,1.01050027
0.0563976064,1.00803818
0.0577304137,1.00412524
0.0590947184,0.99955267
0.0608455485,0.993066239
0.0633842054,0.983062203
0.0668044189,0.970178553
0.0683831636,0.965088394
0.0699992177,0.960763811
0.0712362802,0.958182783
0.0720731211,0.956838605
0.0729197928,0.955831754
0.0737763776,0.955192984
0.0742084692,0.955020576
0.074643058,0.954950161
0.075080192,0.954984736
0.0755199197,0.955127309
0.0759621889,0.955380942
0.0768545469,0.95623139
0.0777573531,0.957550149
0.0786707997,0.959350062
0.0795949768,0.961640198
0.0810016206,0.965991976
0.0824331232,0.971429991
0.0838899241,0.977893134
0.0858724393,0.987936214
0.0884166269,1.00223305
0.0959485082,1.0436837
0.09764416,1.05043948
0.0987911806,1.05403506
0.0999517199,1.05677114
0.101125893,1.05855724
0.101718119,1.05907045
0.102313813,1.05931819
0.102913042,1.05929183
0.103515734,1.05898622
0.104121956,1.05839851
0.104731774,1.05752614
0.105962053,1.05491837
0.107206831,1.05116
0.108466233,1.04630426
0.110383104,1.03711987
0.112333852,1.02599894
0.114988563,1.00908014
0.121193349,0.970008667
0.123335141,0.959493046
0.124784008,0.95385689
0.126249839,0.949562996
0.127732946,0.946798425
0.128480992,0.946027374
0.129233476,0.945681823
0.129990309,0.945775969
0.130751574,0.946324683
0.131517357,0.94733517
0.132287565,0.948796685
0.1338416,0.953022641
0.13541383,0.958906479
0.137806933,0.970439177
0.141063697,0.989224039
0.146093655,1.01793512
0.147809875,1.02571471
0.14954619,1.03180319
0.151302968,1.03585111
0.152189048,1.03701003
0.153080384,1.03755595
0.153976873,1.03748249
0.154878611,1.03678529
0.1557857,1.03546122
0.156698032,1.03351469
0.158538826,1.0278982
0.160401173,1.02027101
0.163235866,1.00606716
0.169056425,0.975655082
0.171042398,0.967609472
0.173051701,0.961733826
0.174065148,0.959754211
0.17508453,0.958471434
0.176109961,0.957926747
0.177141318,0.958127636
0.178178715,0.959063185
0.179222267,0.96072401
0.181327581,0.966098145
0.183457709,0.973759377
0.186699868,0.988052047
0.191112023,1.00766823
0.193357092,1.01554309
0.195628535,1.02099762
0.196774199,1.02262
0.197926572,1.02342309
0.199085784,1.0233804
0.200251695,1.0225159
0.201424433,1.02085974
0.203790646,1.01542457
0.206184656,1.00781225
0.213536656,0.982955092
0.216045156,0.977699841
0.217310386,0.976202085
0.218583026,0.975492294
0.21986312,0.975578942
0.221150808,0.976443404
0.222445939,0.978062166
0.2250591,0.983285493
0.229036461,0.994322628
0.233084112,1.00543055
0.235822244,1.01073103
0.237203296,1.01238285
0.238592435,1.0132887
0.239989817,1.0134201
0.241395275,1.0128058
0.242808964,1.01149291
0.245661338,1.00717701
0.254420972,0.991061097
0.255910943,0.98952585
0.257409756,0.988622382
0.258917231,0.9884025
0.260433534,0.988855422
0.261958835,0.989937531
0.265036051,0.993598022
0.272888412,1.00484139
0.274486535,1.00629626
0.276094141,1.00723564
0.277711038,1.00760843
0.279337404,1.00741305
0.28097342,1.00668021
0.284273999,1.00397537
0.290992189,0.997570053
0.292696334,0.996554171
0.294410458,0.99594877
0.296134754,0.995784771
0.297869015,0.996058175
0.299613433,0.996733267
0.303133111,0.998974826
0.308490237,1.00277344
0.310296855,1.00365288
0.312114194,1.00419537
0.313942036,1.00437077
0.315780582,1.00419809
0.317630038,1.003725
0.321361221,1.00216446
0.327040483,0.999687122
0.328955885,0.999204214
0.330882358,0.998999531
0.332820112,0.999076699
0.334769364,0.999395413
0.338701882,1.0004737
0.342680747,1.00162215
0.344687751,1.0020507
0.346706355,1.00230953
0.348736779,1.00236345
0.350779252,1.00220758
0.354899837,1.00143241
0.359068986,1.00052197
0.363287113,0.999932899
0.36541464,0.999819079
0.367554626,0.9998355
0.371872437,1.00018706
0.37624097,1.00061646
0.378444359,1.00071872
0.380660652,1.00071895
0.385132424,1.00045798
0.396542944,0.999273266
0.401201112,0.999152038
0.413087707,0.999004871
0.417940413,0.998653049
0.430322759,0.997709179
0.443072157,0.997115265
